0,1.064,1.912,5.548,5.971,6.285,3.525,4.421,5.82,5.586,6.096,2.115,4.507,5.685,6.348,6.017,3.452,8.005,8.472,8.125,6.99,7.725,7.775,6.579,5.095,4.548,5.021,4.767,7.665,7.239,7.665,8.044,8.245,7.767,7.23,7.506
1.064,0,1.074,5.593,5.997,6.278,2.487,3.747,4.904,4.533,5.122,1.059,3.551,4.673,6.351,5.933,3.562,7.133,7.588,7.199,6.086,6.814,6.861,5.846,4.736,4.099,5.043,4.692,6.724,6.302,6.747,7.094,7.302,6.79,6.257,6.731
1.912,1.074,0,4.889,5.267,5.517,1.769,2.675,3.908,3.834,4.194,0.774,2.602,3.821,5.596,5.121,3.009,6.106,6.569,6.213,5.081,5.815,5.864,4.774,3.771,3.099,4.336,3.919,5.752,5.327,5.753,6.133,6.333,5.865,5.326,5.666
5.548,5.593,4.889,0,0.428,0.77,5.828,3.713,5.615,7.124,6.299,5.643,5.401,6.501,0.817,0.809,2.096,6.548,6.991,7.128,6.161,6.709,6.762,4.636,2.117,2.638,0.554,1.027,6.951,6.634,6.725,7.321,7.388,7.417,6.991,5.461
5.971,5.997,5.267,0.428,0,0.353,6.137,3.933,5.761,7.349,6.452,6.014,5.64,6.694,0.39,0.617,2.52,6.549,6.978,7.156,6.232,6.747,6.799,4.662,2.26,2.854,0.957,1.359,7.009,6.71,6.769,7.369,7.423,7.494,7.088,5.439
6.285,6.278,5.517,0.77,0.353,0,6.311,4.034,5.787,7.44,6.482,6.254,5.749,6.757,0.091,0.539,2.839,6.452,6.868,7.079,6.193,6.678,6.729,4.592,2.318,2.963,1.264,1.598,6.956,6.674,6.706,7.306,7.349,7.456,7.067,5.327
3.525,2.487,1.769,5.828,6.137,6.311,0,2.506,2.665,2.076,2.721,1.433,1.304,2.205,6.399,5.829,4.321,4.923,5.339,4.865,3.828,4.518,4.56,4.068,4.151,3.427,5.308,4.802,4.365,3.957,4.439,4.711,4.931,4.362,3.842,4.78
4.421,3.747,2.675,3.713,3.933,4.034,2.506,0,2.069,3.416,2.693,3.107,1.716,2.799,4.125,3.512,2.966,3.804,4.292,4.127,2.981,3.688,3.743,2.167,1.738,1.079,3.279,2.739,3.778,3.378,3.66,4.181,4.325,4.103,3.597,3.12
5.82,4.904,3.908,5.615,5.761,5.787,2.665,2.069,0,2.034,0.696,3.95,1.383,1.166,5.876,5.248,5.029,2.264,2.696,2.305,1.185,1.91,1.958,1.805,3.506,3.031,5.244,4.714,1.858,1.432,1.846,2.251,2.437,2.074,1.548,2.225
5.586,4.533,3.834,7.124,7.349,7.44,2.076,3.416,2.034,0,1.535,3.474,1.735,0.875,7.531,6.911,6.021,3.805,4.095,3.47,2.774,3.259,3.282,3.839,5.125,4.495,6.668,6.13,2.96,2.65,3.159,3.198,3.434,2.73,2.318,4.151
6.096,5.122,4.194,6.299,6.452,6.482,2.721,2.693,0.696,1.535,0,4.11,1.593,0.69,6.571,5.943,5.623,2.34,2.694,2.157,1.262,1.85,1.885,2.397,4.194,3.696,5.917,5.383,1.65,1.257,1.76,1.99,2.21,1.672,1.136,2.618
2.115,1.059,0.774,5.643,6.014,6.254,1.433,3.107,3.95,3.474,4.11,0,2.573,3.632,6.335,5.842,3.784,6.206,6.646,6.221,5.135,5.851,5.896,5.074,4.405,3.704,5.091,4.66,5.734,5.317,5.778,6.095,6.308,5.77,5.242,5.903
4.507,3.551,2.602,5.401,5.64,5.749,1.304,1.716,1.383,1.735,1.593,2.573,0,1.319,5.84,5.228,4.322,3.646,4.077,3.651,2.564,3.277,3.323,2.809,3.451,2.788,4.937,4.4,3.172,2.751,3.206,3.544,3.75,3.263,2.724,3.48
5.685,4.673,3.821,6.501,6.694,6.757,2.205,2.799,1.166,0.875,0.69,3.632,1.319,0,6.847,6.222,5.603,3.023,3.359,2.787,1.952,2.514,2.544,2.969,4.441,3.864,6.078,5.538,2.271,1.908,2.419,2.572,2.803,2.176,1.681,3.286
6.348,6.351,5.596,0.817,0.39,0.091,6.399,4.125,5.876,7.531,6.571,6.335,5.84,6.847,0,0.628,2.899,6.529,6.944,7.159,6.277,6.759,6.81,4.674,2.408,3.053,1.327,1.677,7.039,6.758,6.787,7.388,7.43,7.54,7.153,5.402
6.017,5.933,5.121,0.809,0.617,0.539,5.829,3.512,5.248,6.911,5.943,5.842,5.228,6.222,0.628,0,2.62,5.947,6.372,6.564,5.663,6.159,6.21,4.073,1.786,2.449,1.093,1.252,6.431,6.143,6.184,6.785,6.833,6.926,6.533,4.831
3.452,3.562,3.009,2.096,2.52,2.839,4.321,2.966,5.029,6.021,5.623,3.784,4.322,5.603,2.899,2.62,0,6.618,7.103,7.034,5.914,6.593,6.649,4.753,2.325,2.227,1.576,1.421,6.721,6.332,6.576,7.122,7.251,7.067,6.563,5.721
8.005,7.133,6.106,6.548,6.549,6.452,4.923,3.804,2.264,3.805,2.34,6.206,3.646,3.023,6.529,5.947,6.618,0,0.488,0.735,1.102,0.592,0.595,1.927,4.547,4.399,6.337,5.875,0.995,1.167,0.694,1.096,1.013,1.538,1.605,1.148
8.472,7.588,6.569,6.991,6.978,6.868,5.339,4.292,2.696,4.095,2.694,6.646,4.077,3.359,6.944,6.372,7.103,0.488,0,0.695,1.514,0.845,0.816,2.392,5.012,4.881,6.795,6.339,1.152,1.453,0.941,1.073,0.897,1.588,1.806,1.542
8.125,7.199,6.213,7.128,7.156,7.079,4.865,4.127,2.305,3.47,2.157,6.221,3.651,2.787,7.159,6.564,7.034,0.735,0.695,0,1.16,0.441,0.385,2.495,5.076,4.846,6.882,6.398,0.516,0.907,0.471,0.386,0.283,0.893,1.154,1.847
6.99,6.086,5.081,6.161,6.232,6.193,3.828,2.981,1.185,2.774,1.262,5.135,2.564,1.952,6.277,5.663,5.914,1.102,1.514,1.16,0,0.738,0.789,1.652,4.064,3.759,5.87,5.367,0.811,0.482,0.689,1.208,1.344,1.263,0.936,1.476
7.725,6.814,5.815,6.709,6.747,6.678,4.518,3.688,1.91,3.259,1.85,5.851,3.277,2.514,6.759,6.159,6.593,0.592,0.845,0.441,0.738,0,0.056,2.086,4.646,4.407,6.454,5.967,0.413,0.61,0.104,0.639,0.68,0.982,1.016,1.534
7.775,6.861,5.864,6.762,6.799,6.729,4.56,3.743,1.958,3.282,1.885,5.896,3.323,2.544,6.81,6.21,6.649,0.595,0.816,0.385,0.789,0.056,0,2.138,4.701,4.462,6.508,6.022,0.4,0.637,0.125,0.594,0.626,0.958,1.022,1.572
6.579,5.846,4.774,4.636,4.662,4.592,4.068,2.167,1.805,3.839,2.397,5.074,2.809,2.969,4.674,4.073,4.753,1.927,2.392,2.495,1.652,2.086,2.138,0,2.621,2.528,4.412,3.948,2.372,2.13,2.114,2.714,2.761,2.898,2.579,0.98
5.095,4.736,3.771,2.117,2.26,2.318,4.151,1.738,3.506,5.125,4.194,4.405,3.451,4.441,2.408,1.786,2.325,4.547,5.012,5.076,4.064,4.646,4.701,2.621,0,0.727,1.809,1.328,4.864,4.532,4.654,5.243,5.326,5.313,4.877,3.533
4.548,4.099,3.099,2.638,2.854,2.963,3.427,1.079,3.031,4.495,3.696,3.704,2.788,3.864,3.053,2.449,2.227,4.399,4.881,4.846,3.759,4.407,4.462,2.528,0.727,0,2.223,1.687,4.571,4.204,4.399,4.965,5.076,4.967,4.494,3.499
5.021,5.043,4.336,0.554,0.957,1.264,5.308,3.279,5.244,6.668,5.917,5.091,4.937,6.078,1.327,1.093,1.576,6.337,6.795,6.882,5.87,6.454,6.508,4.412,1.809,2.223,0,0.54,6.672,6.335,6.462,7.051,7.134,7.113,6.666,5.287
4.767,4.692,3.919,1.027,1.359,1.598,4.802,2.739,4.714,6.13,5.383,4.66,4.4,5.538,1.677,1.252,1.421,5.875,6.339,6.398,5.367,5.967,6.022,3.948,1.328,1.687,0.54,0,6.172,5.828,5.972,6.556,6.646,6.603,6.149,4.851
7.665,6.724,5.752,6.951,7.009,6.956,4.365,3.778,1.858,2.96,1.65,5.734,3.172,2.271,7.039,6.431,6.721,0.995,1.152,0.516,0.811,0.413,0.4,2.372,4.864,4.571,6.672,6.172,0,0.426,0.323,0.403,0.58,0.577,0.654,1.919
7.239,6.302,5.327,6.634,6.71,6.674,3.957,3.378,1.432,2.65,1.257,5.317,2.751,1.908,6.758,6.143,6.332,1.167,1.453,0.907,0.482,0.61,0.637,2.13,4.532,4.204,6.335,5.828,0.426,0,0.513,0.821,1.006,0.784,0.501,1.851
7.665,6.747,5.753,6.725,6.769,6.706,4.439,3.66,1.846,3.159,1.76,5.778,3.206,2.419,6.787,6.184,6.576,0.694,0.941,0.471,0.689,0.104,0.125,2.114,4.654,4.399,6.462,5.972,0.323,0.513,0,0.601,0.677,0.898,0.912,1.603
8.044,7.094,6.133,7.321,7.369,7.306,4.711,4.181,2.251,3.198,1.99,6.095,3.544,2.572,7.388,6.785,7.122,1.096,1.073,0.386,1.208,0.639,0.594,2.714,5.243,4.965,7.051,6.556,0.403,0.821,0.601,0,0.236,0.525,0.894,2.16
8.245,7.302,6.333,7.388,7.423,7.349,4.931,4.325,2.437,3.434,2.21,6.308,3.75,2.803,7.43,6.833,7.251,1.013,0.897,0.283,1.344,0.68,0.626,2.761,5.326,5.076,7.134,6.646,0.58,1.006,0.677,0.236,0,0.747,1.128,2.13
7.767,6.79,5.865,7.417,7.494,7.456,4.362,4.103,2.074,2.73,1.672,5.77,3.263,2.176,7.54,6.926,7.067,1.538,1.588,0.893,1.263,0.982,0.958,2.898,5.313,4.967,7.113,6.603,0.577,0.784,0.898,0.525,0.747,0,0.541,2.495
7.23,6.257,5.326,6.991,7.088,7.067,3.842,3.597,1.548,2.318,1.136,5.242,2.724,1.681,7.153,6.533,6.563,1.605,1.806,1.154,0.936,1.016,1.022,2.579,4.877,4.494,6.666,6.149,0.654,0.501,0.912,0.894,1.128,0.541,0,2.352
7.506,6.731,5.666,5.461,5.439,5.327,4.78,3.12,2.225,4.151,2.618,5.903,3.48,3.286,5.402,4.831,5.721,1.148,1.542,1.847,1.476,1.534,1.572,0.98,3.533,3.499,5.287,4.851,1.919,1.851,1.603,2.16,2.13,2.495,2.352,0
